"species","mass","temp","MR","mean.mass","q10smr"
"Gillichthys_mirabilis",2.93,15,0.147672,NA,NA
"Gillichthys_mirabilis",3.24,15,0.099792,NA,NA
"Gillichthys_mirabilis",4.14,15,0.156492,NA,NA
"Gillichthys_mirabilis",4.72,15,0.194936,1.354302,0.219145
"Heteropneustes_fossilis",9,26,1.2285,NA,NA
"Heteropneustes_fossilis",10,26,1.197,NA,NA
"Heteropneustes_fossilis",15,26,1.3965,NA,NA
"Heteropneustes_fossilis",16,26,1.456,NA,NA
"Heteropneustes_fossilis",17,26,1.4756,NA,NA
"Heteropneustes_fossilis",23,26,1.9803,NA,NA
"Heteropneustes_fossilis",26,26,2.2022,NA,NA
"Heteropneustes_fossilis",36,26,2.9232,NA,NA
"Heteropneustes_fossilis",44,26,3.5728,NA,NA
"Heteropneustes_fossilis",56,26,4.4688,NA,NA
"Heteropneustes_fossilis",75,26,4.8825,23.91117,3.90164
"Hippoglossoides_platessoides",231,3.5,3.3957,NA,NA
"Hippoglossoides_platessoides",268,3.5,4.1272,NA,NA
"Hippoglossoides_platessoides",294,3.5,3.7044,NA,NA
"Hippoglossoides_platessoides",344,3.5,4.3344,NA,NA
"Hippoglossoides_platessoides",390,3.5,4.641,300.2918,22.47692
"Ictalurus_punctatus",4.43,23.5,0.46515,NA,NA
"Ictalurus_punctatus",5.37,23.5,1.157772,NA,NA
"Ictalurus_punctatus",5.43,23.5,0.391503,NA,NA
"Ictalurus_punctatus",6.71,23.5,1.296372,NA,NA
"Ictalurus_punctatus",7.24,23.5,0.881832,NA,NA
"Ictalurus_punctatus",7.25,23.5,0.76125,NA,NA
"Ictalurus_punctatus",7.61,23.5,0.548681,NA,NA
"Ictalurus_punctatus",8.27,23.5,1.325681,NA,NA
"Ictalurus_punctatus",825,18,24.255,11.00221,2.422681
"Labeo_rohita",6,25,4.6116,NA,NA
"Labeo_rohita",7,25,3.3173,NA,NA
"Labeo_rohita",8.5,25,3.31415,NA,NA
"Labeo_rohita",11.5,25,3.30855,NA,NA
"Labeo_rohita",11.5,25,3.32465,8.606227,6.778311
"Lepomis_gibbosus",44.92,20,1.41498,44.92,3.475318
"Lepomis_macrochirus",118,25,8.3426,NA,NA
"Lepomis_macrochirus",118,25,8.5078,NA,NA
"Lepomis_macrochirus",118,25,8.7556,NA,NA
"Lepomis_macrochirus",118,25,8.8382,118,16.47347
"Leporinus_fasciatus",3.95,25,0.384335,NA,NA
"Leporinus_fasciatus",7.6,30,0.84588,5.479051,0.963057
"Leuciscus_idus",600,5,8.4,NA,NA
