"species","mass","temp","MR","mean.mass","q10smr"
"Desmognathus_quadramaculatus",9.25,25,0.7104,12.19139,2.961446
"Ensatina_eschscholtzii",0.308,14,0.0176,NA,NA
"Ensatina_eschscholtzii",3.39,15,0.1292,NA,NA
"Ensatina_eschscholtzii",5.3,25,0.3572,1.768787,0.454353
"Eurycea_bislineata",1.041,1,0.016,NA,NA
"Eurycea_bislineata",1.14,5,0.0157,NA,NA
"Eurycea_bislineata",1.07,10,0.0263,NA,NA
"Eurycea_bislineata",1.092,10,0.0489,NA,NA
"Eurycea_bislineata",0.93,15,0.0494,NA,NA
"Eurycea_bislineata",1.17,16,0.0674,NA,NA
"Eurycea_bislineata",0.93,20,0.0539,1.049582,0.292234
"Eurycea_longicauda",1.57,15,0.0504,1.57,0.31121
"Eurycea_multiplicata",0.64,5,0.0088,NA,NA
"Eurycea_multiplicata",0.78,5,0.0322,NA,NA
"Eurycea_multiplicata",0.63,10,0.0093,NA,NA
"Eurycea_multiplicata",0.8,10,0.0858,NA,NA
"Eurycea_multiplicata",0.71,15,0.0155,NA,NA
"Eurycea_multiplicata",0.65,15,0.1162,NA,NA
"Eurycea_multiplicata",0.84,20,0.0931,NA,NA
"Eurycea_multiplicata",0.79,20,0.1764,NA,NA
"Eurycea_multiplicata",0.73,25,0.0555,0.726311,0.280324
"Eurycea_nana",0.154,25,0.0132,0.154,0.036936
"Eurycea_neotenes",0.243,25,0.0258,0.243,0.072193
"Eurycea_pterophila",0.196,25,0.0176,0.196,0.049248
"Gyrinophilus_porphyriticus",7.28,5,0.0531,NA,NA
"Gyrinophilus_porphyriticus",15.3,15,0.8874,NA,NA
"Gyrinophilus_porphyriticus",12.4,15.5,0.1885,NA,NA
"Gyrinophilus_porphyriticus",7.36,25,0.4858,NA,NA
"Gyrinophilus_porphyriticus",7.67,15,0.1795,9.514447,1.462158
"Plethodon_cinereus",0.844,1,0.012,NA,NA
"Plethodon_cinereus",0.7,5,0.01,NA,NA
"Plethodon_cinereus",0.7,10,0.015,NA,NA
"Plethodon_cinereus",0.862,10,0.0323,NA,NA
"Plethodon_cinereus",0.7,14,0.019,NA,NA
"Plethodon_cinereus",0.8,15,0.032,NA,NA
"Plethodon_cinereus",0.99,15.5,0.039,NA,NA
"Plethodon_cinereus",0.7,17.5,0.028,NA,NA
"Plethodon_cinereus",0.6,17.5,0.0168,NA,NA
"Plethodon_cinereus",0.9,17.5,0.03,NA,NA
"Plethodon_cinereus",0.94,18.5,0.0415,NA,NA
"Plethodon_cinereus",1,20,0.0476,NA,NA
"Plethodon_cinereus",0.89,20,0.0451,NA,NA
"Plethodon_cinereus",0.7,21,0.034,0.7997,0.16642
"Plethodon_dorsalis",0.75,5,0.0083,NA,NA
"Plethodon_dorsalis",0.77,10,0.0178,NA,NA
"Plethodon_dorsalis",0.66,15,0.0293,NA,NA
"Plethodon_dorsalis",0.71,20,0.0222,NA,NA
"Plethodon_dorsalis",0.69,25,0.0239,0.714892,0.11557
"Plethodon_glutinosus",3.75,5,0.0443,NA,NA
"Plethodon_glutinosus",3.65,10,0.0762,NA,NA
"Plethodon_glutinosus",4.33,14,0.2464,NA,NA
"Plethodon_glutinosus",4.25,15,0.1441,NA,NA
"Plethodon_glutinosus",3.65,15,0.1167,NA,NA
"Plethodon_glutinosus",4.2,15,0.3444,NA,NA
"Plethodon_glutinosus",3.65,20,0.1583,NA,NA
"Plethodon_glutinosus",5.01,20,0.1671,NA,NA
"Plethodon_glutinosus",3.91,25,0.3237,4.023103,0.901225
"Plethodon_jordani",3.1,5,0.027,NA,NA
"Plethodon_jordani",3.1,10,0.058,NA,NA
"Plethodon_jordani",3.1,14,0.087,NA,NA
"Plethodon_jordani",1.83,15,0.0511,NA,NA
"Plethodon_jordani",3.1,17.5,0.109,NA,NA
"Plethodon_jordani",4.3,17.5,0.138,NA,NA
"Plethodon_jordani",2.2,17.5,0.071,NA,NA
"Plethodon_jordani",3.1,21,0.148,NA,NA
"Plethodon_jordani",1.83,25,0.1243,2.752539,0.463425
"Plethodon_neomexicanus",2.47,5,0.0914,NA,NA
"Plethodon_neomexicanus",2.47,10,0.1186,NA,NA
"Plethodon_neomexicanus",2.47,15,0.1359,NA,NA
"Plethodon_neomexicanus",2.47,20,0.1408,NA,NA
"Plethodon_neomexicanus",2.47,25,0.1507,2.47,0.77556
"Pseudoeurycea_bellii",10.94,15,0.1882,NA,NA
"Pseudoeurycea_bellii",24.45,25,0.7188,16.35491,1.528839
"Pseudoeurycea_brunnata",3.33,15,0.656,3.33,4.050664
"Pseudoeurycea_cephalica",1.45,15,0.0354,1.45,0.218588
"Pseudoeurycea_cochranae",2.23,15,0.0457,2.23,0.282188
"Pseudoeurycea_gadovii",3.09,5,0.0442,NA,NA
"Pseudoeurycea_gadovii",2.88,15,0.085,NA,NA
"Pseudoeurycea_gadovii",2.99,25,0.2443,2.985433,0.600082
"Pseudoeurycea_goebeli",3.78,5,0.0359,NA,NA
"Pseudoeurycea_goebeli",3.66,15,0.0831,NA,NA
"Pseudoeurycea_goebeli",3.73,25,0.2842,3.723007,0.584425
"Pseudoeurycea_leprosa",2.46,15,0.0556,2.46,0.343318
"Pseudoeurycea_rex",1.86,15,0.0392,1.86,0.242052
"Pseudotriton_ruber",10.81,5,0.0681,NA,NA
"Pseudotriton_ruber",10.33,15,0.2324,NA,NA
