"species","mass","temp","MR","mean.mass","q10smr"
"Natrix_natrix",82.5,35,16.15074,NA,NA
"Natrix_natrix",37.5,5,0.257616,NA,NA
"Natrix_natrix",37.5,10,0.348539,NA,NA
"Natrix_natrix",37.5,15,0.651616,NA,NA
"Natrix_natrix",37.5,20,1.182002,NA,NA
"Natrix_natrix",37.5,25,1.818464,NA,NA
"Natrix_natrix",37.5,30,2.727696,NA,NA
"Natrix_natrix",37.5,35,5.152315,57.17134,10.01764
"Nerodia_rhombifer",238,20,14.28,NA,NA
"Nerodia_rhombifer",238,30,22.61,238,57.25099
"Ophisaurus_ventralis",32.185,25,1.242341,32.185,3.958307
"Oxyrhopus_trigeminus",98,20,3.43,98,17.06584
"Pelamis_platura",116,30,6.96,116,14.20081
"Philodryas_olfersii",176,20,6.864,176,34.15158
"Philodryas_patagoniensis",388,20,19.788,388,98.45446
"Tropidodryas_serra",135,20,4.725,135,23.50906
"Phrynosoma_cornutum",35,25,3.36,NA,NA
"Phrynosoma_cornutum",35,35,5.81,35,9.014912
"Phrynosoma_douglassii",28,25,3.22,NA,NA
"Phrynosoma_douglassii",28,35,4.788,28,8.011407
"Phrynosoma_mcallii",16,20,1.12,NA,NA
"Phrynosoma_mcallii",16,30,2.72,NA,NA
"Phrynosoma_mcallii",16,37,4.4,16,5.298626
"Physignathus_lesueurii",504,20,16.5816,NA,NA
"Physignathus_lesueurii",504,30,40.32,NA,NA
"Physignathus_lesueurii",504,37,70.56,504,80.59695
"Pituophis_melanoleucus",548,20,10.412,NA,NA
"Pituophis_melanoleucus",622,20,23.014,NA,NA
"Pituophis_melanoleucus",548,30,38.36,571.6328,77.43285
"Pituophis_catenifer",548,10,8.768,NA,NA
"Pituophis_catenifer",548,20,10.96,NA,NA
"Pituophis_catenifer",548,30,21.92,NA,NA
"Pituophis_catenifer",548,40,75.076,548,63.53775
"Podarcis_hispanicus",3.43,5,0.04459,NA,NA
"Podarcis_hispanicus",3.43,10,0.0686,NA,NA
"Podarcis_hispanicus",3.43,15,0.11662,NA,NA
"Podarcis_hispanicus",3.43,20,0.3087,NA,NA
"Podarcis_hispanicus",3.43,25,0.53165,NA,NA
"Podarcis_hispanicus",3.43,30,0.79233,NA,NA
"Podarcis_hispanicus",3.43,35,0.9604,NA,NA
"Podarcis_hispanicus",3.6,20,0.576,NA,NA
"Podarcis_hispanicus",3.6,30,1.332,NA,NA
"Podarcis_hispanicus",3.6,35,2.106,3.480139,1.533823
"Podarcis_lilfordi",7.4,20,0.5402,NA,NA
"Podarcis_lilfordi",7.4,30,2.516,NA,NA
"Podarcis_lilfordi",8.3,20,0.7055,NA,NA
"Podarcis_lilfordi",8.3,30,1.7015,7.837091,3.600951
"Podarcis_muralis",5.5,20,0.946,NA,NA
"Podarcis_muralis",5.5,30,2.5795,NA,NA
"Podarcis_muralis",5.5,35,2.3485,5.5,4.236083
"Psammodromus_algirus",5.2,20,0.6396,NA,NA
"Psammodromus_algirus",5.2,30,1.7888,NA,NA
"Psammodromus_algirus",5.2,35,2.626,5.2,3.415705
"Ptyodactylus_hasselquistii",8.5,20,0.51,NA,NA
"Ptyodactylus_hasselquistii",8.5,30,1.241,8.5,2.534776
"Python_curtus",2373.5,20,17.72535,NA,NA
"Python_curtus",2373.5,30,45.74423,NA,NA
"Python_curtus",2373.5,34,65.58768,2373.5,91.70244
"Python_molurus",29777.25,20,147.8181,NA,NA
"Python_molurus",23162.25,30,363.6473,NA,NA
"Python_molurus",33954.5,34,675.1985,28610.2,807.3768
"Python_regius",787,20,6.873619,NA,NA
"Python_regius",883.5,30,20.25686,NA,NA
"Python_regius",830.5,34,28.43973,832.7353,38.57958
"Python_sebae",16140,20,112.4057,NA,NA
"Python_sebae",16140,30,286.6705,NA,NA
"Python_sebae",16140,34,394.2839,16140,569.0144
"Sauromalus_hispidus",574,20,10.2746,NA,NA
"Sauromalus_hispidus",574,30,29.848,NA,NA
"Sauromalus_hispidus",574,37,50.4546,NA,NA
"Sauromalus_hispidus",574,15,7.175,NA,NA
"Sauromalus_hispidus",574,20,10.906,NA,NA
"Sauromalus_hispidus",574,25,21.238,NA,NA
"Sauromalus_hispidus",574,30,29.274,NA,NA
"Sauromalus_hispidus",574,35,43.624,NA,NA
"Sauromalus_hispidus",574,40,68.88,574,57.52413
"Sauromalus_ater",150,20,4.35,NA,NA
"Sauromalus_ater",150,30,10.8,150,21.83862
"Sceloporus_graciosus",5,25,0.44,NA,NA
"Sceloporus_graciosus",5,30,0.82,NA,NA
"Sceloporus_graciosus",5,37,1.75,5,1.649415
"Sceloporus_occidentalis",10.105,10,0.76798,NA,NA
"Sceloporus_occidentalis",10.105,16,1.722903,NA,NA
"Sceloporus_occidentalis",10.105,20,17.5827,NA,NA
"Sceloporus_occidentalis",10.105,25,1.09134,NA,NA
"Sceloporus_occidentalis",10.105,30,49.5145,NA,NA
"Sceloporus_occidentalis",10.105,31,2.273625,NA,NA
"Sceloporus_occidentalis",10.105,35,28.95083,NA,NA
"Sceloporus_occidentalis",10.105,40,81.8505,10.105,21.04958
"Sceloporus_olivaceus",24,20,1.5792,NA,NA
"Sceloporus_olivaceus",21,25,3.507,NA,NA
"Sceloporus_olivaceus",13,30,3.939,18.71219,8.902697
"Sceloporus_undulatus",3.8,20,0.1482,NA,NA
"Sceloporus_undulatus",3.8,25,0.4484,NA,NA
"Sceloporus_undulatus",3.8,30,1.0146,NA,NA
"Sceloporus_undulatus",3.8,35,1.349,3.8,1.400204
"Sceloporus_variabilis",12.215,10,2.015475,NA,NA
"Sceloporus_variabilis",12.215,16,3.78665,NA,NA
"Sceloporus_variabilis",12.215,35,21.80378,12.215,26.56546
"Scelotes_gronovii",1.1,23,0.1804,NA,NA
"Scelotes_gronovii",1.1,33,0.2497,1.1,0.517556
"Scincella_lateralis",1,20,0.12,NA,NA
"Scincella_lateralis",1,30,0.31,1,0.614526
"Scincus_mitranus",14.6,10,0.3942,NA,NA
"Scincus_mitranus",14.6,15,0.4818,NA,NA
"Scincus_mitranus",14.6,20,0.7592,NA,NA
"Scincus_mitranus",14.6,25,1.5038,NA,NA
"Scincus_mitranus",14.6,30,1.5914,NA,NA
"Scincus_mitranus",14.6,35,2.19,14.6,3.799939
"Sibynomorphus_mikanii",11,20,1.353,11,6.731802
"Spalerosophis_diadema",300,15,15.6,NA,NA
"Spalerosophis_diadema",300,20,21.6,NA,NA
"Spalerosophis_diadema",300,25,29.7,NA,NA
"Spalerosophis_diadema",300,30,40.5,NA,NA
"Spalerosophis_diadema",300,35,57,NA,NA
"Spalerosophis_diadema",300,37,76.5,NA,NA
"Spalerosophis_diadema",300,40,127.5,NA,NA
"Spalerosophis_diadema",351,30,47.736,NA,NA
"Spalerosophis_diadema",300,41.8,171,305.2794,97.59638
"Sphaerodactylus_cinereus",0.4,27,0.04,0.4,0.106636
