Higher-level clade (strict phylogenetic order),Traditional Order,Traditional Family,Species,log10 productivity,log10 mass,Nest type,Foraging habitat,Developmental mode,Time of activity,Social system,Migratory mode,Diet
Galliformes,Galliformes,Tetraodonidae,Tetrao mlokosiewiczi,-0.641,2.911,open,terrestrial,precocial,diurnal,Female only,nonmigrant,vegetation
Galliformes,Galliformes,Tetraodonidae,Tetrao tetrix,-0.572,3.029,open,terrestrial,precocial,diurnal,Female only,nonmigrant,vegetation
Galliformes,Galliformes,Tetraodonidae,Tetrao urogallus,-0.844,3.434,open,terrestrial,precocial,diurnal,Female only,nonmigrant,vegetation
Galliformes,Galliformes,Tetraodonidae,Centrocercus urophasianus,-0.772,3.279,open,terrestrial,precocial,diurnal,Female only,nonmigrant,vegetation
Galliformes,Galliformes,Tetraodonidae,Dendragapus obscurus,-0.668,3.02,open,terrestrial,precocial,diurnal,Female only,nonmigrant,vegetation
Galliformes,Galliformes,Tetraodonidae,Tympanuchus cupido,-0.542,2.94,open,terrestrial,precocial,diurnal,Female only,nonmigrant,seed
Galliformes,Galliformes,Tetraodonidae,Tympanuchus phasianellus,-0.486,2.946,open,terrestrial,precocial,diurnal,Female only,nonmigrant,vegetation
Galliformes,Galliformes,Phasianidae,Perdix perdix,-0.255,2.608,open,terrestrial,precocial,diurnal,Pair,nonmigrant,seed
Galliformes,Galliformes,Phasianidae,Ammoperdix griseogularis,-0.173,2.305,open,terrestrial,precocial,diurnal,Pair,nonmigrant,vegetation
Galliformes,Galliformes,Phasianidae,Alectoris chukar,-0.46,2.701,open,terrestrial,precocial,diurnal,Pair,nonmigrant,seed
Galliformes,Galliformes,Phasianidae,Alectoris graeca,-0.272,2.774,open,terrestrial,precocial,diurnal,Pair,nonmigrant,vegetation
Galliformes,Galliformes,Phasianidae,Alectoris rufa,-0.188,2.723,open,terrestrial,precocial,diurnal,Unknown,nonmigrant,vegetation
Galliformes,Galliformes,Phasianidae,Alectoris barbara,-0.288,2.619,open,terrestrial,precocial,diurnal,Unknown,nonmigrant,vegetation
Galliformes,Galliformes,Phasianidae,Tetraogallus caucasicus,-0.592,3.263,open,terrestrial,precocial,diurnal,Pair,nonmigrant,vegetation
Galliformes,Galliformes,Phasianidae,Tetraogallus caspius,-0.698,3.399,open,terrestrial,precocial,diurnal,Female only,nonmigrant,seed
Galliformes,Galliformes,Odontophoridae,Callipepla squamata,0.037,2.265,open,terrestrial,precocial,diurnal,Pair,nonmigrant,seed
Galliformes,Galliformes,Odontophoridae,Colinus virginianus,-0.202,2.235,open,terrestrial,precocial,diurnal,Pair,nonmigrant,seed
Phoenicopteriformes-Podicipediformes,Podicipediformes,Podicipedidae,Podilymbus podiceps,-0.242,2.615,open,freshwater,semialtricial,diurnal,Occasional,migrant,invertebrate
Phoenicopteriformes-Podicipediformes,Podicipediformes,Podicipedidae,Tachybaptus ruficollis,-0.209,2.229,open,freshwater,semialtricial,diurnal,Occasional,migrant,invertebrate
Phoenicopteriformes-Podicipediformes,Podicipediformes,Podicipedidae,Podiceps auritus,-0.477,2.656,open,freshwater,semialtricial,diurnal,Occasional,migrant,vertfishscav
Phoenicopteriformes-Podicipediformes,Podicipediformes,Podicipedidae,Podiceps cristatus,-0.477,2.864,open,freshwater,semialtricial,diurnal,Occasional,migrant,vertfishscav
Phoenicopteriformes-Podicipediformes,Podicipediformes,Podicipedidae,Podiceps grisegena,-0.692,3.01,open,freshwater,semialtricial,diurnal,Pair,migrant,invertebrate
Phoenicopteriformes-Podicipediformes,Podicipediformes,Podicipedidae,Aechmophorus occidentalis,-0.702,3.056,open,freshwater,semialtricial,diurnal,Occasional,migrant,vertfishscav
